Text document (logs.txt) containing the appended logs:

func: dummy_function1 | role: dummy_role1 | จันทร์ | 14:26:18
func: dummy_function1 | role: dummy_role1 | จันทร์ | 15:13:08
func: dummy_function1 | role: dummy_role1 | จันทร์ | 15:13:33
func: dummy_function1 | role: dummy_role1 | จันทร์ | 15:15:47
func: dummy_function1 | role: dummy_role1 | จันทร์ | 15:16:08
func: dummy_function1 | role: dummy_role1 | จันทร์ | 15:18:28
func: dummy_function1 | role: dummy_role1 | จันทร์ | 15:19:08
func: dummy_function1 | role: dummy_role1 | จันทร์ | 15:21:13
func: dummy_function1 | role: dummy_role1 | จันทร์ | 15:22:14
func: dummy_function1 | role: dummy_role1 | จันทร์ | 15:24:21
func: dummy_function1 | role: dummy_role1 | จันทร์ | 15:27:51
func: dummy_function1 | role: dummy_role1 | จันทร์ | 15:29:43
func: dummy_function1 | role: dummy_role1 | จันทร์ | 15:38:19
func: dummy_function1 | role: dummy_role1 | จันทร์ | 15:39:46
func: dummy_function1 | role: dummy_role1 | จันทร์ | 15:49:55
func: dummy_function1 | role: dummy_role1 | จันทร์ | 16:05:34
func: dummy_function1 | role: dummy_role1 | จันทร์ | 16:06:10
func: dummy_function1 | role: dummy_role1 | จันทร์ | 16:07:32
func: dummy_function1 | role: dummy_role1 | จันทร์ | 16:44:07
func: dummy_function1 | role: dummy_role1 | จันทร์ | 16:44:22
func: dummy_function1 | role: dummy_role1 | จันทร์ | 16:45:02
func: dummy_function1 | role: dummy_role1 | จันทร์ | 16:45:09
func: dummy_function1 | role: dummy_role1 | อังคาร | 09:21:52
func: dummy_function1 | role: dummy_role1 | อังคาร | 09:32:45
func: dummy_function1 | role: dummy_role1 | อังคาร | 09:41:56
func: dummy_function1 | role: dummy_role1 | อังคาร | 09:44:30
func: dummy_function1 | role: dummy_role1 | อังคาร | 09:44:56
func: dummy_function1 | role: dummy_role1 | อังคาร | 09:45:46
func: dummy_function1 | role: dummy_role1 | อังคาร | 09:51:40
func: dummy_function1 | role: dummy_role1 | อังคาร | 09:52:38
func: dummy_function1 | role: dummy_role1 | อังคาร | 09:54:01
func: dummy_function1 | role: dummy_role1 | อังคาร | 09:58:45
func: dummy_function1 | role: dummy_role1 | อังคาร | 09:59:03
func: dummy_function1 | role: dummy_role1 | อังคาร | 10:02:53
func: dummy_function1 | role: dummy_role1 | อังคาร | 10:14:54
func: dummy_function1 | role: dummy_role1 | อังคาร | 10:16:18
